run,event_number,n_tracks,sum_hit_weight_density,sum_qdc
5132,4112645,2,698,84.4900005236268
5132,5089767,3,308,15.230000378564
5132,6868175,3,1232,22.909999281167984
5132,8262964,3,637,26.849999833852053
5132,163119511,,3,339,26.860000055283308
5132,166105724,True,3,190,33.23999962583184
5132,172149903,True,3,1428,116.98000015132129
5132,173237815,True,3,787,11.009999940171838
5132,176020446,True,3,130,18.980000032112002
5132,177243938,True,3,454,41.00000083446503
5133,1952291,True,3,287,29.819999776780605
5133,14233926,True,3,383,16.560000171884894
5133,19346654,True,3,630,15.690000591799617
5133,25381354,True,3,885,33.98999992199242
5133,30015181,True,3,270,66.05000048875809
5133,30286670,True,3,281,12.289999231696129
5133,37055650,True,3,378,4.560001667588949
5133,41559800,True,3,296,11.37000022828579
5133,43952350,True,3,793,40.04999959655106
5133,51491038,True,3,308,47.14999936334789
5133,51862419,True,3,177,71.85999978333712
5133,53677281,True,3,256,39.989999413490295
5133,53798103,True,3,1120,95.45999917387962
5133,54680291,True,3,344,38.75000075250864
5133,65545241,True,3,208,58.61999951675534
5133,69384383,True,2,463,19.72999957576394
5133,70227559,True,3,204,43.60999971628189
5133,71097228,True,3,309,50.79999924078584
5133,71259400,True,3,493,48.6800000667572
5133,72287916,True,3,983,81.80000089854002
5133,75784754,True,2,293,44.20000061392784
5133,78109346,True,3,294,46.55999983102083
5133,82093057,True,3,641,35.490000165998936
5133,86763054,True,3,457,37.270000556483865
5133,88426728,True,3,360,49.55000061169267
5133,92537969,True,3,377,22.199999192729592
5133,97440328,True,3,639,64.67999928072095
5133,98685421,True,3,714,62.6399997305125
5144,694014,True,3,223,29.760000351816416
5144,6326494,True,3,686,14.700002118945122
5144,11202109,True,3,1558,61.19999918341637
5144,11249023,True,3,306,69.54000058211386
5144,14177378,True,3,197,15.230000397190452
5144,15171522,True,2,268,41.70000079460442
5144,17345548,True,3,717,65.8099996689707
5144,17698645,True,3,149,62.88000037148595
5144,17997357,True,3,342,54.130000188946724
5144,23128776,True,3,232,38.909999718889594
5144,25292701,True,2,1243,-16.19000069051981
5144,30541090,True,3,254,41.80000010877848
5144,40057529,True,3,183,64.5900003388524
5144,40595287,True,3,558,40.240000983700156
5144,46967435,True,3,320,54.59000154398382
5154,6764177,True,3,794,91.48999883234501
5154,7337296,True,3,677,67.28999988362193
5154,10856816,True,2,264,82.31000056676567
5154,22375824,True,3,173,44.37999965623021
5154,22700504,True,3,219,68.41000035405159
5154,24732766,True,3,1272,63.46000070311129
5154,24843013,True,3,617,79.25000092759728
5154,25836256,True,2,232,39.26000018790364
5154,32509336,True,3,576,28.940000489354134
5154,33501072,True,3,149,47.38000042364001
5154,33585863,True,3,944,45.39000064507127
5154,35159187,True,3,194,-2.1199995055794716
5154,35678252,True,3,287,28.5999993160367
5154,40435338,True,3,206,33.09000012092292
5154,42071021,True,3,464,45.39000056684017
5154,44747787,True,3,263,19.190000222995877
5154,46520992,True,2,268,56.370000844821334
5154,48194366,True,3,144,23.61000021919608
5154,49518451,True,3,198,66.08999920450151
5154,50347343,True,3,188,50.93999954685569
5154,60299967,True,3,836,5.2300001587718725
5154,60708672,True,3,180,34.74000070989132
5154,62379121,True,3,264,59.269999980926514
5154,69979303,True,2,653,9.979998737573624
5154,73442362,True,3,325,-0.8799993842840195
5154,78049004,True,2,131,32.970000423491
5154,79653530,True,3,5165,171.51000138930976
5154,84450826,True,3,328,32.869999289512634
5154,84455504,True,3,1831,-44.40000095963478
5154,85245148,True,3,533,2.379999188706279
5154,87552606,True,3,156,46.36999980546534
5154,94271898,True,3,334,40.82999943755567
5154,94935707,True,2,705,39.380000008270144
5154,99108255,True,3,177,52.44000004418194
5154,100543041,True,3,2708,15.08999933861196
5154,104286928,True,3,188,24.91000058874488
5154,105308317,True,3,1734,47.81999915651977
5154,108245035,True,3,1039,6.9000001810491085
5154,108645660,True,3,368,42.62999963015318
5154,108980646,True,3,347,57.890000611543655
5154,109356142,True,3,517,29.55000041425228
5154,117054599,True,3,487,11.75000049546361
5154,119031155,True,2,725,83.70000039972365
5154,119408864,True,3,1082,5.630000084638596
5154,122251822,True,3,498,16.86000026203692
5154,125413390,True,3,185,44.96999963931739
5154,125788222,True,3,422,43.48999955877662
5154,129570848,True,3,625,125.19000035710633
5154,138853298,True,3,624,22.72000017389655
5154,139263711,True,2,482,20.400000136345625
5154,149550660,True,3,457,39.73000027611852
5154,153428381,True,3,315,33.579999243840575
5154,155822400,True,3,2080,61.91000045835972
5154,160265748,True,3,294,69.25000009685755
5154,160325170,True,3,214,55.409999415278435
5154,163897811,True,3,714,93.66999951936305
5154,164142944,True,3,319,30.78999874740839
5154,167134510,True,3,247,18.74999970011413
5154,170030774,True,3,729,-5.649999916553497
5154,171573456,True,3,142,25.439999535679817
