run,event_number,shower_start_sf,sum_hit_density_w_sf,sum_qdc_sf,max_qdc_per_sf_plane,n_hits_sf,max_n_hits_per_sf_plane
5132,4112645,1,698,84.4900005236268,25.949999637901783,48,17
5132,5089767,3,308,15.230000378564,18.250000175088644,40,19
5132,6868175,-1,1232,22.909999281167984,22.520000122487545,63,35
5132,8262964,4,637,26.849999833852053,17.259999992325902,51,21
5132,12469833,4,575,36.41999976709485,16.570000037550926,53,23
5132,15636395,-1,175,64.57000039331615,20.669999837875366,32,9
5132,21749205,3,623,5.199999626725912,12.569999784231186,51,20
5132,24123474,-1,502,35.4000009149313,24.37000012397766,59,19
5132,24683585,1,681,118.13999824225903,42.019998751580715,62,19
5132,24705240,-1,173,12.74000058323145,6.230000451207161,35,8
5132,25652857,5,750,14.52000007033348,16.499999940395355,53,29
5132,26170179,-1,418,53.88000002875924,22.21999967098236,51,15
5132,26171176,-1,525,79.89000146277249,30.680000320076942,59,20
5132,28219794,-1,280,16.709999430924654,17.179999887943268,35,12
5132,29703019,4,547,39.53999989107251,30.969999780878425,45,20
5132,45683696,-1,290,49.53000080212951,19.910000063478947,43,16
5132,47694086,1,489,52.74999998137355,28.55999992415309,52,19
5132,50707712,5,728,69.69000001624227,43.08000008389354,49,25
5132,51108013,1,420,81.50999973714352,23.329999554902315,49,14
5132,57016849,-1,160,61.519999261945486,21.34999993443489,32,12
5132,64375516,-1,407,23.10000018775463,23.76999980211258,47,13
5132,66973178,-1,221,-11.110000075772405,3.220000058412552,34,9
5132,69387664,3,1694,63.929998740553856,63.189999379217625,75,35
5132,72612125,3,342,64.01000000163913,28.260000303387642,34,15
5132,73357509,-1,424,58.27000103145838,26.700000628829002,37,16
5132,73610878,5,592,12.299999374896288,19.13999979197979,50,24
5132,78021050,1,783,62.54000010713935,35.87999992072582,44,21
5132,81943702,4,535,71.96999951452017,28.239999894052744,53,22
5132,84376682,3,859,70.30000032484531,27.539999768137932,70,21
5132,85680361,4,576,64.15000057592988,25.510000359266996,65,23
5132,87753880,-1,95,42.1499999165535,19.520000159740448,27,6
